P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
HD 106906 b,3,3496.108,-635.65601,635.65601,,,,2013,14-05-2014,,,,650,,,,,,,,,,,,,,,6290,,,,,,,,Imaging,,,,,HD 106906,184.47163,-55.975525,7.797,103.33,-0.46,0.46,,,,1.5,-0.1,0.1,,,,F5 V,0.013,-0.002,0.002,6516,-165,165,,,,"HD 106906, HIP 59960",,,,,86.204466,650,650,650,650.00002,,,,,,,Jovian,,F,12.29811,12 17 53.1945,-55 58 31.8900,,,,,,,,,,,8.2518076,0.19856947,0,0,,0,,Crux,Cru,Southern Cross,12.388146,3496.108,650
HD 203030 b,3,7656.4766,-3661.6964,2663.0808,,,,2006,14-05-2014,,,,487.1,-1.8,1.8,,,,,,,,,,,,,12400,,,,,,,,Imaging,,,,,HD 203030,319.74258,26.230545,8.425,39.29,-0.09,0.09,,,,,,,,,,G8 V,0.22,-0.09,0.14,,,,,,,"HD 203030, HIP 105232",,,,,,487.1,487.1,487.1,487.10001,,,,,,,Jovian,,G,21.316173,21 18 58.2242,+26 13 49.9620,,,,,,,,,,,,,0,0,,0,,Vulpecula,Vul,Fox,11.968143,7656.4766,487.1
HD 95086 b,3,1589.14,-635.65601,635.65601,,,,2013,14-05-2014,,,,55.7,-2.5,2.5,,,,,,,,,,,,,644,,,,,,,,Imaging,,,,,HD 95086,164.26259,-68.667343,7.36,86.44,-0.24,0.24,,,,1.6,,,,,,A8 III,0.017,-0.004,0.004,,,,,,,"HD 95086, HIP 53524",,,,,5.5588864,55.7,55.7,55.7,55.700001,,,,,,,Jovian,,A,10.95084,10 57 03.0234,-68 40 02.4348,,,,,,,,,,,,0.21216463,0,0,,0,,Carina,Car,Keel,12.825459,1589.14,55.7
HIP 65426 b,3,2860.452,-953.48401,953.48401,16.815,-1.121,1.121,2017,13-07-2017,,,,92,,,,,,,,,,,,,,,826,,,,,,,,Imaging,,,,,HIP 65426,201.15041,-51.504459,6.982,111.4,-3.8,3.8,,,,1.96,-0.04,0.04,1.77,-0.05,0.05,A2 V,0.014,-0.004,0.004,8840,-200,200,,,,"HD 116434, HIP 65426",13.042742,170.11311,10.116748,0.60165018,10.438367,92,92,92,92.000002,0.002025203,0.002025203,0.002025203,54.045813,54.045813,54.045813,Jovian,1.77,A,13.410028,13 24 36.1000,-51 30 16.0524,17.141319,2.8709546,6.6162669,3.6362915,6.2728366,3.8411344,6.2728366,3.5094639,6.2728366,11.178561,488.93242,0.21978507,0,0,Cold,0,0.056600465,Centaurus,Cen,Centaur,16.815,2860.452,92
HIP 78530 b,3,7310.0441,-317.828,317.828,,,,2010,01-04-2015,,,,740,-60,60,,,,,,,,,,,,,4720,,,,,,,,Imaging,,,,,HIP 78530,240.48106,-21.980389,7.192,156.7,-13,13,,,,2.5,,,,,,B9 V,0.005,,,10500,,,,,,"HD 143567, HIP 78530",,,,,105.8466,740,740,740,740.00002,,,,,,,Jovian,,B,16.032072,16 01 55.4584,-21 58 49.4004,,,,,,,,,,,9184.016,0.20077047,0,0,,0,,Scorpius,Sco,Scorpion,11.992551,7310.0441,740
HIP 79098 AB b,3,6515.4741,-1430.226,1430.226,,,,2019,11-07-2019,,,,345,-6,6,,,,,,,,,,,,,2360,,,,,,,,Imaging,,,,,HIP 79098 AB,242.18218,-23.685415,5.86,146.3,-2.5,2.5,,,,3.75,-1.25,1.25,,,,B9 V,0.01,-0.003,0.003,,,,,,,"HD 144844, HIP 79098 AB",,,,,41.486732,345,345,345,345.00001,,,,,,,Jovian,,B,16.145479,16 08 43.7250,-23 41 07.4940,,,,,,,,,,,,0.25796963,0,0,,0,,Scorpius,Sco,Scorpion,12.053424,6515.4741,345
HN Peg b,3,6991.8029,-2996.4919,2996.4919,11.78171,-0.65018,1.52456,2006,14-05-2014,,,,773,-13,13,,,,,,,,,,,,,42600,,,,,,,,Imaging,,,,,HN Peg,326.13055,14.771939,5.95,18.13,-0.02,0.02,-0.02,,,1.1,,,1.04,,,G0 IV-V,3.1,,,5974,,,,,4.48,"HD 206860, HIP 107350",24.360737,593.44551,50.370066,4.2752763,143.22875,773,773,773,773.00002,2.07E-06,2.07E-06,2.07E-06,9.6584895,9.6584895,9.6584895,Jovian,1.04,G,21.742038,21 44 31.3370,+14 46 18.9804,1.2342871,0.82390381,1.9316453,1.0435706,1.8313755,1.1033286,1.8313755,1.0073363,1.8313755,2.9996589,2.9326054,0.44591219,0,0,Cold,0,0.074924735,Pegasus,Peg,Winged Horse,11.78171,6991.8029,773
HR 2562 b,3,9534.8401,-4767.42,4767.42,12.4431,-1.2331,1.2331,2016,08-09-2016,,,,20.3,-0.3,0.3,,,,,,,,,,,,,596,,,,,,,,Imaging,,,,,HR 2562,102.50423,-60.249146,6.11,34.04,-0.05,0.05,0.02,-0.07,0.06,1.3,,,,,,F5 V,0.6,-0.3,0.3,,,,,,,"HD 50571, HIP 32775",27.681678,766.27529,61.582346,4.949116,3.9452205,20.3,20.3,20.3,20.300001,,,,,,,Jovian,,F,6.8336155,06 50 01.0158,-60 14 56.9256,,,,,,,,,,,,0.35856219,0,0,,0,,Pictor,Pic,Painter's Easel,12.4431,9534.8401,20.3
HR 8799 b,3,2224.796,-635.65601,1271.312,13.452,-1.121,1.121,2008,14-05-2014,170000,,,68,,,,,,,,,,,,,,,1730,,,,,,,,Imaging,,,,,HR 8799,346.86966,21.134251,5.953,39.4,-0.1,0.1,-0.5,,,,,,,,,A5,0.03,,,7400,,,,,4,"HD 218396, HIP 114189",12.860317,165.38775,12.294659,0.91396511,,68,68,68,68.000002,,,,,,,Jovian,,A,23.124645,23 07 28.7225,+21 08 03.3036,,,,,,,,,,,,,0,0,,0,,Pegasus,Peg,Winged Horse,13.452,2224.796,68
HR 8799 c,3,3178.28,-953.48401,953.48401,13.452,0,1.121,2008,14-05-2014,69000,,,38,,,,,,,,,,,,,,,964,,,,,,,,Imaging,,,,,HR 8799,346.86966,21.134251,5.953,39.4,-0.1,0.1,-0.5,,,,,,,,,A5,0.03,,,7400,,,,,4,"HD 218396, HIP 114189",15.371019,236.26821,17.563798,1.3056644,,38,38,38,38.000001,,,,,,,Jovian,,A,23.124645,23 07 28.7225,+21 08 03.3036,,,,,,,,,,,,,0,0,,0,,Pegasus,Peg,Winged Horse,13.452,3178.28,38
