P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
MOA-2011-BLG-262L b,3,17.9986,-9.998869,28.000647,,,,2014,04-06-2015,,,,0.84,-0.14,0.25,,,,,,,,,,,,,0.12,,,,,,,,Microlensing,,,,,MOA-2011-BLG-262L,270.09783,-31.245258,,7000,-1000,900,,,,0.12,-0.06,0.19,,,,,,,,,,,,,,",",,,,,0.044642686,0.84,0.84,0.84,0.84000002,,,,,,,Neptunian,,,18.006523,18 00 23.4833,-31 14 42.9288,,,,,,,,,,,,0.22755071,0,0,,0,,Sagittarius,Sgr,Archer,4.4341545,17.9986,0.84
MOA-2011-BLG-291L b,3,17.9986,-12.001185,34.00124,,,,2018,29-11-2018,,,,0.69,-0.24,0.24,,,,,,,,,,,,,0.157,,,,,,,,Microlensing,,,,,MOA-2011-BLG-291L,268.86789,-29.170666,,4400,-1400,1400,,,,0.15,-0.1,0.27,,,,,,,,,,,,,,",",,,,,0.034042134,0.69,0.69,0.69,0.69000002,,,,,,,Neptunian,,,17.924527,17 55 28.2967,-29 10 14.3976,,,,,,,,,,,,0.24512158,0,0,,0,,Sagittarius,Sgr,Archer,4.4341545,17.9986,0.69
MOA-2011-BLG-293L b,3,1525.5744,-95.348401,95.348401,,,,2012,14-05-2014,,,,1.1,-0.1,0.1,,,,,,,,,,,,,0.142,,,,,,,,Microlensing,,,,,MOA-2011-BLG-293L,268.91396,-28.476847,,7720,-440,440,,,,0.86,-0.06,0.06,,,,,,,,,,,,,,",",,,,,0.1331955,1.1,1.1,1.1,1.1,,,,,,,Jovian,,,17.927598,17 55 39.3533,-28 28 36.6492,,,,,,,,,,,,0.43871647,0,0,,0,,Sagittarius,Sgr,Archer,12.848516,1525.5744,1.1
MOA-2011-BLG-322L b,3,3686.8048,-1779.8368,4258.8952,,,,2013,14-05-2014,,,,4.3,-1.2,1.5,,,,,,,,,,,,,0.569,,,,,,,,Microlensing,,,,,MOA-2011-BLG-322L,271.22333,-27.220944,,7560,-910,910,,,,0.39,-0.19,0.45,,,,,,,,,,,,,,",",,,,,0.90945704,4.3,4.3,4.3,4.3000001,,,,,,,Jovian,,,18.081556,18 04 53.6033,-27 13 15.3984,,,,,,,,,,,,0.33705905,0,0,,0,,Sagittarius,Sgr,Archer,12.359231,3686.8048,4.3
MOA-2012-BLG-006L b,3,2669.7552,-1239.5292,1462.0088,,,,2017,15-09-2017,,,,10.2,-2.4,1.8,,,,,,,,,,,,,1.93,,,,,,,,Microlensing,,,,,MOA-2012-BLG-006L,270.44296,-29.108778,,5300,-1300,800,,,,0.49,-0.23,0.27,,,,,,,,,,,,,,",",,,,,1.7953282,10.2,10.2,10.2,10.2,,,,,,,Jovian,,,18.029532,18 01 46.3145,-29 06 31.6008,,,,,,,,,,,,0.36370546,0,0,,0,,Sagittarius,Sgr,Archer,12.53601,2669.7552,10.2
MOA-2012-BLG-505L b,3,6.6998143,-3.5088212,10.609099,,,,2017,22-06-2017,,,,0.9,-0.21,0.25,,,,,,,,,,,,,0.125,,,,,,,,Microlensing,,,,,MOA-2012-BLG-505L,268.1431,-32.040092,,7210,-1110,1140,,,,0.1,-0.05,0.16,,,,,,,,,,,,,,",",,,,,0.036563573,0.9,0.9,0.9,0.90000002,,,,,,,Superterran,,,17.876207,17 52 34.3466,-32 02 24.3312,,,,,,,,,,,,0.21413342,0,0,,0,,Scorpius,Sco,Scorpion,2.4775715,6.6998143,0.9
MOA-2013-BLG-605L b,3,3.200528,-0.29875832,0.49898996,,,,2016,19-05-2016,,,,0.94,-0.02,0.67,,,,,,,,,,,,,,,,,,,,,Microlensing,,,,,MOA-2013-BLG-605L,269.67854,-29.398239,,,,,,,,0.03,0,0.01,,,,,,,,,,,,,,",",,,,,0.044594351,0.94,0.94,0.94,0.94000002,,,,,,,Terran,,,17.97857,17 58 42.8535,-29 23 53.6604,,,,,,,,,,,,0.14334796,0,0,,0,,Sagittarius,Sgr,Archer,1.6034328,3.200528,0.94
MOA-2015-BLG-337L b,3,33.699303,-23.198266,129.00003,,,,2018,08-11-2018,,,,0.24,-0.09,0.06,,,,,,,,,,,,,0.0338,,,,,,,,Microlensing,,,,,MOA-2015-BLG-337L,271.9487,-28.170279,,7100,-1000,1100,,,,0.01,-0.01,0.04,,,,,,,,,,,,,,",",,,,,0.035991789,0.24,0.24,0.24,0.24000001,,,,,,,Neptunian,,,18.129914,18 07 47.6914,-28 10 13.0044,,,,,,,,,,,,0.099391926,0,0,,0,,Sagittarius,Sgr,Archer,6.4156981,33.699303,0.24
MOA-2016-BLG-227L b,3,889.91841,-476.742,699.22161,,,,2017,18-05-2017,,,,1.67,-0.35,0.94,,,,,,,,,,,,,0.257,,,,,,,,Microlensing,,,,,MOA-2016-BLG-227L,271.47375,-27.714287,,6500,-1000,1000,,,,0.29,-0.15,0.23,,,,,,,,,,,,,,",",,,,,0.24274619,1.67,1.67,1.67,1.67,,,,,,,Jovian,,,18.098251,18 05 53.7046,-27 42 51.4332,,,,,,,,,,,,0.3053635,0,0,,0,,Sagittarius,Sgr,Archer,13.156872,889.91841,1.67
MOA-2016-BLG-319L b,3,197.05336,-104.88324,368.68048,,,,2018,29-11-2018,,,,0.95,-0.2,0.17,,,,,,,,,,,,,0.14,,,,,,,,Microlensing,,,,,MOA-2016-BLG-319L,268.74222,-29.750463,,6800,-1400,1200,,,,0.15,-0.08,0.28,,,,,,,,,,,,,,",",,,,,0.10407339,0.95,0.95,0.95,0.95000002,,,,,,,Jovian,,,17.916149,17 54 58.1357,-29 45 01.6668,,,,,,,,,,,,0.24512158,0,0,,0,,Sagittarius,Sgr,Archer,14.059257,197.05336,0.95
